Year,Title,Game System,Long Description,Event Type,Game ID,Duration,Cost $,Maximum Players,Rules Complexity,Location,GM Names,Start Date & Time,Original Order,Website,Email,Tournament?,Round Number,Total Rounds,Minimum Play Time,Attendee Registration?,Group,Room Name,Table Number,Special Category,Tickets Available,Last Modified,Materials Provided,Also Runs,Prize,Short Description,Rules Edition,Minimum Players,Age Required,End Date & Time,Experience Required
2002,Die Siedler Von Nuremberg,Die Siedler Von Nuremberg,Explore the founding of Nuremberg and its development into a city of renown. For 3 to 4 players ages 10 and up. Playing Time 2-3 hours. Due to license restrictions this product will not be produced in English.,Boardgames,1335,4:00:00,$3.00,16,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,11,,,,,,,,,,,,,,,,,,,,,,
2002,Dwarves and Orcs ,Dwarves and Orcs ,"The hostility has elevated to the point of out-and-out war! Play either a clan of dwarves or a tribe of orcs in this strategic war game: The goal:To eradicate the other side! Event starts every other hour on the even hour, all weekend long!",Boardgames,10077,8:00:00,$1.50,100,E-1,BGHQ,Reality Simulations Inc,8/8/2002,12,,,,,,,,,,,,,,,,,,,,,,
2002,Empire Builder,Empire Builder,Come play this classic Mayfair railroad game.,Boardgames,1368,4:00:00,$3.00,6,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,13,,,,,,,,,,,,,,,,,,,,,,
2002,Entdecker,Entdecker,"Sail the seas exploring a newly discovered archipelago in this brilliantly balanced game of exploration. Invest in new paths of discovery; continue from where your competitors leave off, or journey forth on a new path.",Boardgames,1375,2:00:00,$1.50,16,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,14,,,,,,,,,,,,,,,,,,,,,,
2002,Euphrates and Tigris,Euphrates and Tigris,"Set in the Fertile Crescent, early civilizations are rising.Your goal is to nurture their growth. A game with everything: backstabbing, politics, treasure, and huge monuments.",Boardgames,1382,2:00:00,$1.50,4,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,15,,,,,,,,,,,,,,,,,,,,,,
2002,"Europa, Master Europa",Europa,Mid to late 1944 on all fronts in Europe. Continuous games every 2 hours throughout the weekend.,Boardgames,10083,6:00:00,$1.50,20,A-1,BGHQ,Keith Martinson,8/8/2002,16,,,,,,,,,,,,,,,,,,,,,,
2002,Express,Express,A fast-paced card game of train formation. Score points by assembling your own trains.This event counts towards both the Puffing Billy Tournament and the Mayfair Tournament.,Boardgames,1987,2:00:00,$1.50,999,E-1,Hilton: GB7HQ,Train Gamers Association,8/8/2002,17,,,,,,,,,,,,,,,,,,,,,,
2002,"FOLAC, Apocalypse",FOLAC,"This Risk-like strategy game is set in a Europe of the future. Battles are not resolved by rolling dice, but by secretly committing to a number on a die as the attacker.The defender tries to guess the number based on the attacker’s goal.",Boardgames,1086,3:45:00,$3.00,14,A-2,3rd Floor: BGHQ,Frederuck Lange,8/8/2002,18,,,,,,,,,,,,,,,,,,,,,,
2002,"Fred Lange, The Space Game","Fred Lange, The Space Game","Trade in the gold, fuel, and metal to build fleets or call elections on enemy worlds. Empires are built quickly and alliances can be formed in various media. Unique tallying system makes this game fast-paced and fun!",Boardgames,1075,3:45:00,$3.00,12,A-2,3rd Floor: BGHQ,Frederuck Lange,8/8/2002,19,,,,,,,,,,,,,,,,,,,,,,
2002,Industrial Waste,Industrial Waste,"In the past, profit was the only measure of success for a company. Companies (the players) must now look beyond the walls of their company to the world and realize their position in the world and the effect they have on it.",Boardgames,1435,2:00:00,$1.50,16,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,20,,,,,,,,,,,,,,,,,,,,,,
2002,Kingmaker,Kingmaker,Come play out the classic game of the War of the Roses on a giant 4x4 board. Generic tickets welcome.,Boardgames,1453,4:00:00,$3.00,6,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,21,,,,,,,,,,,,,,,,,,,,,,
2002,Lord of the Rings,Lord of the Rings,The newest board game based on j.R.R.Tolkien’s The Lord of the Rings trilogy. Take part as a party of hobbits that must work together as a team to take the One Ring to Mount Doom.,Boardgames,1763,2:00:00,$1.50,5,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,22,,,,,,,,,,,,,,,,,,,,,,
2002,"Marine Expeditionary Unit, What Aspirin Factory?",Marine Expeditory Unit,There are some things you just can't do with a cruise missile: That’s when you call in the Marines.When the neighborhood has more hoods then neighbors and you need some house cleaning.,Boardgames,10073,2:00:00,$1.50,8,E-2,BGHQ,Leisure Time Hobbies,8/8/2002,23,,,,,,,,,,,,,,,,,,,,,,
2002,Meddici,Meddici,Buyers for different merchant houses compete in the wholesale market to see who can make the most money in this fast-paced game.,Boardgames,1483,2:00:00,$1.50,6,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,24,,,,,,,,,,,,,,,,,,,,,,
2002,Medina,Medina,"The year is 1822. After years of being tortured by sun, wind, and sand, Medina, the legendary city set at the foot of the Atlas Mountains, looks a bit shabby and rundown. It needs to be rebuilt and the players have been chosen to do this. Part of the Rio Grande Tournament.",Boardgames,1495,2:00:00,$1.50,16,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,25,,,,,,,,,,,,,,,,,,,,,,
2002,Quo Vadis,Quo Vadis,"Control the fate of Rome, politic your way through the Halls of Power as you strive to gain control of the Senate.",Boardgames,1522,2:00:00,$1.50,5,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,26,,,,,,,,,,,,,,,,,,,,,,
2002,Rail Baron,Rail Baron,Race from destination to destination while amassing railroad deeds and cash in this classic train game. PBT event.,Boardgames,1979,4:00:00,$3.00,999,A-1,Hilton: GB7HQ,Train Gamers Association,8/8/2002,27,,,,,,,,,,,,,,,,,,,,,,
2002,Ricochet Robot,Ricochet Robot,"Four robots move on the floor of a warehouse. As they have no brakes, they rely on obstacles such as walls and other robots to stop. Once stopped, they can turn left or right and move again.",Boardgames,1552,2:00:00,$1.50,20,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,28,,,,,,,,,,,,,,,,,,,,,,
2002,RoboRally,RoboRally,"Your robot is doing the best it can, but with crushers, pushers, conveyors, and other robots in your way, it is just about impossible to get to the next flag. Generic tickets welcome.",Boardgames,1561,4:00:00,$3.00,96,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,29,,,,,,,,,,,,,,,,,,,,,,
2002,Samurai,Samurai,"The Samurai forces attempt to gain control of the 3 powers.Who will achieve the most support from the peasants, clergy, and nobility?",Boardgames,1575,2:00:00,$1.50,4,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,30,,,,,,,,,,,,,,,,,,,,,,
2002,Seafarers of Catan,Seafarers of Catan,From sheep and cities to ships! Come play this fun version of the Settlers of Catan system on Mayfair’s giant board.,Boardgames,1596,2:00:00,$1.50,4,a-5,Hilton: GB7HQ,Game Base 7,8/8/2002,31,,,,,,,,,,,,,,,,,,,,,,
2002,"Settlers of Catan, Cities and Knights",Settlers of Catan,"This expansion includes the basic game, the Seafarers game and the Cities and Knights game. Each table is scheduled for four to six players. Play is to 16 points. Part of the Mayfair Tournament. Semi Final is Sat at 9pm and finals are Sunday at 8am.",Boardgames,1649,2:00:00,$1.50,4,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,32,,,,,,,,,,,,,,,,,,,,,,
2002,"Settlers of Catan, Cities and Knights, Three Round Tournament",Settlers of Catan,This expansion includes the bisjc oamSi the Seafarers game and the Cities and Knights game. Each able is scheduled for four to six players. Play is to 16 points Part of the Mayfair Tournament. Semi Final is Sat at 9pm and finals are Sunday at 8am.,Boardgames,1618,4:00:00,$3.00,64,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,33,,,,,,,,,,,,,,,,,,,,,,
2002,"Settlers of Catan, Historical Scenarios",Settlers of Catan,"Players get to choose which historical scenario they want to pbv Plavers can choose Alexander the Great,The Trojan War,The Great Wall, or Cheops.",Boardgames,1622,2:00:00,$1.50,6,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,34,,,,,,,,,,,,,,,,,,,,,,
2002,"Settlers of Catan, Settlers of Catan",Settlers of Catan,(First Occurrence: Th 10 AM #/662),Boardgames,1661,2:00:00,$1.50,24,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,35,,,,,,,,,,,,,,,,,,,,,,
2002,Simply More Cosmic,Simply More Cosmic,Alien cowers and planets.Who will be the First to conquer the other alien powers?,Boardgames,1694,4:00:00,$3.00,6,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,36,,,,,,,,,,,,,,,,,,,,,,
2002,Sold-The Antique Dealers Game,Sold-The Antique Dealers Game,Compete against the other shop owners to see who can assemble the most valuable collection.,Boardgames,1707,4:00:00,$3.00,6,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,37,,,,,,,,,,,,,,,,,,,,,,
2002,Starfarers of Catan,Starfarers of Catan,Sheen into space! Come play this new twist to the Settlers of Catan system.,Boardgames,1721,2:00:00,$1.50,6,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,38,,,,,,,,,,,,,,,,,,,,,,
2002,"Taj Mahal, Talisman","Taj Mahal, Talisman",The classic adventure board game.Will you be the First to find the Crown of Command' Generic tickets welcome.,Boardgames,1749,4:00:00,$3.00,6,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,39,,,,,,,,,,,,,,,,,,,,,,
2002,Tigris and Euphrates,Tigris and Euphrates,"Thousands of years ago, in the fertile land between theTigris and the Euphrates rivers, a new civilization flourished.The leaders of the powerful and independent kingdoms were believed to be the earthly representatives of the gods.",Boardgames,1777,4:00:00,$3.00,24,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,40,,,,,,,,,,,,,,,,,,,,,,
2002,"Wizard Kings, If an Orc Dies in the Forest",Wizard Kings,"Does anyone care? Stop by and learn to play this fast-paced, exciting board game that is fun for the entire family.",Boardgames,1039,1:45:00,$1.50,18,S-1,3rd Floor: BGHQ,"Columbia Games, Inc.",8/8/2002,41,,,,,,,,,,,,,,,,,,,,,,
2002,"Wizard Kings, Thar’s Gold in them Thar Hills",Wizard Kings,"Newest release from Columbia Games, includes the Treasures and Artifacts guarded by Heros and Thugs. Come check it out.",Boardgames,1016,3:45:00,$3.00,18,S-2,3rd Floor: BGHQ,"Columbia Games, Inc.",8/8/2002,42,,,,,,,,,,,,,,,,,,,,,,
2002,"You Know, That Game","You Know, That Game","You know, that game: The one with the pieces and the rules and the other stuff. People like it. You can play. No, really, you can. If you know how. Get a ticket. Or not. Really, it’s up to you.",[Not Given],0,8:00:00,$-,25000,NULL,3rd Floor: BGHQ,"Gen Con, LLC",8/8/2002,43,,,,,,,,,,,,,,,,,,,,,,
2002,Alibi,Alibi,"This whodunit card game makes players use their skills of deduction and reasoning to solve the who, what, where and why of a murder. Players score points for solving the mystery, helping other players solve it, and forcing them to make strategic decisions.",Non-Tradable Card Games,3034,2:00:00,$1.50,16,H-5,Hilton: GB7HQ,Game Base 7,8/8/2002,44,,,,,,,,,,,,,,,,,,,,,,
2002,Fluxx,Fluxx,"Come play this fast paced card game that starts with two rules-draw 1 card, play 1 card-with no goal for victory. Generic tickets welcome.",Non-Tradable Card Games,3054,2:00:00,$1.50,6,S-1,Hilton: GB7HQ,Game Base 7,8/8/2002,45,,,,,,,,,,,,,,,,,,,,,,
2002,Mille Bornes,Mille Bornes,Come play this classic family racing card game.Who will be the First with a safe trip of 700 miles? Generic tickets welcome.,Non-Tradable Card Games,3104,2:00:00,$1.50,16,S-3,Hilton: GB7HQ,Game Base 7,8/8/2002,46,,,,,,,,,,,,,,,,,,,,,,
2002,"Settlers of Catan, Card Games Expanded",Settlers of Catan,"Players get to choose which expansion set they want to play. Players can choose from Handel & Wandel (Trade and Change), Politik & Intrige (Politics and Intrigue), Ritter & Handler (Knights and Traders), Wissenschaft & Fortschritt (Learning and Progress), or Zauber & Drachen (Wizards & Dragons).",Non-Tradable Card Games,3126,2:00:00,$1.50,8,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,47,,,,,,,,,,,,,,,,,,,,,,
2002,Titan: The Arena,Titan: The Arena,Bet on your favorite monsters to see who survives the arena battles. Generics welcome.,Non-Tradable Card Games,3150,2:00:00,$1.50,20,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,48,,,,,,,,,,,,,,,,,,,,,,
2002,"Avalon Home Base, Circus Maximus Tournament",Avalon Home Base,(First Occurrence: Th 8 AM #6031),Historical Miniatures,6031,4:00:00,$3.00,18,E-2,3rd Floor: MiniHQ,Michael Scott,8/8/2002,49,,,,,,,,,,,,,,,,,,,,,,
2002,"Avalon Home Base, Circus Maximus Tournament",Avalon Home Base,Race your chariot in the only true scale circus. Be one of the First four players to advance to Maximus track and take on 11 other players in the finals of this Grand Tournament. Rules taught and miniatures provided.,Historical Miniatures,6031,4:00:00,$19.00,18,E-2,3rd Floor: MiniHQ,Michael Scott,8/8/2002,50,,,,,,,,,,,,,,,,,,,,,,
2002,"Battlelust, Welsh Raid",Battlelust,The Welsh have ambushed a caravan and must escape with the goods before the Normans can stop them.,Historical Miniatures,6045,4:45:00,$4.50,8,E-1,3rd Floor: MiniHQ,Greg Willaby,8/8/2002,51,,,,,,,,,,,,,,,,,,,,,,
2002,Daytona Challenge,Daytona Challenge,Four rounds of NASCAR racing with top finishers advancing to the final round. Judges will furnish prizes.,Historical Miniatures,6010,3:45:00,$3.00,15,S-2,3rd Floor: MiniHQ,Leland Black,8/8/2002,52,,,,,,,,,,,,,,,,,,,,,,
2002,"Battletech, Marik’s Revenge",Battletech,"After many years of losing ground to House Steiner, a Marik scientist has dicovered some lost tech that can turn the tide of the war. Now a prototype unit has been sent to Hesperus to try out the new armaments. 3025 Tech. Generics welcome.",Non-Historical Miniatures,7267,4:00:00,$3.00,32,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,53,,,,,,,,,,,,,,,,,,,,,,
2002,"BattleTech: Classic, Bloodright Grand Melee",Battletech,"Choose a Clan OmniMech and battle in a huge free-for-all! Survivor gains entry to the Trial of Bloodright tournament (Thursday 5:00 p.m., ticket holders in that event may not play the Grand Melee). Bring your own mini, dice, and record sheet.",Non-Historical Miniatures,7337,6:00:00,$4.50,999,A-2,3rd Floor: MiniHQ,Fantasy Production,8/8/2002,54,,,,,,,,,,,,,,,,,,,,,,
2002,"Car Wars, Physics? Who needs Physics? Part II",Car Wars,"Six city blocks have been barricaded to form the newly enlarged Rogue Arena.The rules are a slight variation on the classic 80’s game. For those who could not get in last year, we have increased the number of players.",Non-Historical Miniatures,7114,3:45:00,$3.00,14,A-2,3rd Floor: MiniHQ,ROGUE Judges,8/8/2002,55,,,,,,,,,,,,,,,,,,,,,,
2002,"Crimson Skies, Great Lakes Shootout",Crimson Skies,"Join in the Star Squadron as they return to the skies over Lake Superior to once again take on the dreaded Norsemen in a battle to keep the sealanes open for Truth, Progress, and iron ore! The fate of the Industrial States may lie in the balance!",Non-Historical Miniatures,7014,6:00:00,$4.50,8,S-2,3rd Floor: MiniHQ,Fantasy Aspirations,8/8/2002,56,,,,,,,,,,,,,,,,,,,,,,
2002,Gummi Wars!,Gummi Wars!,(First Occurrence: Th 8 AM #7082),Non-Historical Miniatures,7082,3:45:00,$3.00,10,S-1,3rd Floor: MiniHQ,Inner City Games Designs/Hekaforge Productions,8/8/2002,57,,,,,,,,,,,,,,,,,,,,,,
2002,"MageKnight Dungeons, Heroes for Hire",Mage Knight,MageKnight Dungeons Sealed Starter Event. Can you survive t e ungeon and prove you are the best HERO!? Each round has some minor variations that will be posted on tokens and spawn counts. Event cost includes starter and booster packs,Non-Historical Miniatures,7403,4:00:00,$25.00,64,E-2,3rd Floor: MiniHQ,Leroy Castle,8/8/2002,58,,,,,,,,,,,,,,,,,,,,,,
2002,"Silent Death :The Next Millenium, Heavy Metal X4",Silent Death,Once again the big boys of the Silent Death universe take the field to do battle. An all Warhound event.,Non-Historical Miniatures,7282,3:45:00,$3.00,6,E-3,3rd Floor: MiniHQ,Michael Zebrowski,8/8/2002,59,,,,,,,,,,,,,,,,,,,,,,
2002,"Warhammer 40K, Angels & Eldar - Battle for Shi-ar III",Warhammer 40K,"With the Tyranids on the way,the Marines and Eldar have ceased their battle and formed a temporary alliance. Will they be able to hold out until Imperial Guard reinforcements arrive? Will any unexpected forces play a hand in this battle!",Non-Historical Miniatures,7001,3:45:00,$3.00,8,A-3,3rd Floor: MiniHQ,David Barclay,8/8/2002,60,,,,,,,,,,,,,,,,,,,,,,
2002,"3E Dungeons & Dragons, Oh, The Poor Prince!","Dungeons & Dragons, 3rd Edition",(First Occurrence: Th Noon #8055),Roleplaying Games,8054,3:45:00,$3.00,6,A-3,202C15,Kent King,8/8/2002,61,,,,,,,,,,,,,,,,,,,,,,
2002,"AD&D, Theatre of Horror",Advanced Dungeons & Dragons,The duke's daughter has been kidnapped. Time to save her! Roleplaying stressed. A BYOV Tragedy.,Roleplaying Games,8593,3:45:00,$3.00,8,A-3,202D:2,Maris Renee,8/8/2002,62,,,,,,,,,,,,,,,,,,,,,,
2002,"AD&D, Dark Inheritance",Advanced Dungeons & Dragons,"In Oakshire, a sleepy village east of the Hullack Forest nestled in the Thunder Peaks, things are not as they seem. Some say an ancient evil walks the streets on moonlit nights.",Roleplaying Games,8596,3:45:00,$3.00,6,A-3,202C:6,Dan Eveland,8/8/2002,63,,,,,,,,,,,,,,,,,,,,,,
2002,"AD&D, Excuuuuse Me! I Didn't Notice Your Were Drow!",Advanced Dungeons & Dragons,"Have you ever been in the Underdark and noticed it just isn't your day? Well, join the crowd! It's a mess full of yahoos who tend not to like visitors. A drow? Where? Oh! It's just Drizzt!",Roleplaying Games,8136,4:00:00,$3.00,8,A-3,202C:1,Brian Meadows,8/8/2002,64,,,,,,,,,,,,,,,,,,,,,,
2002,"AD&D, To Kill Herb!",Advanced Dungeons & Dragons,He has killed you in the past. Now it is your turn. Can you and your party get revenge? BYOV 20th level & above. Also bring a figure of yourself. Let’s see if you can kill him.,Roleplaying Games,8007,3:45:00,$3.00,10,A-3,202A14,Gary Brown,8/8/2002,65,,,,,,,,,,,,,,,,,,,,,,
2002,"Advanced Dungeons & Dragons (1st Ed.), The Story: Beginnings - Rome",Advanced Dungeons & Dragons,"The Roman Legion is recruiting. A person just starting out in life could do worse than join the Army. You get taught a skill, draw a decent wage, and with luck even gain citizenship.",Roleplaying Games,8855,3:45:00,$3.00,24,H-5,Hilton: GB7HQ,Game Base 7,8/8/2002,66,,,,,,,,,,,,,,,,,,,,,,
2002,"Advanced Dungeons and Dragons (2nd Ed.), Visual Dungeon",Advanced Dungeons & Dragons,"Come a play a GenCon classic, join a no-holds-barred adventure. Can you survive? Generics welcome.",Roleplaying Games,8710,3:45:00,$3.00,6,A-5,Hilton: GB7HQ,Game Base 7,8/8/2002,67,,,,,,,,,,,,,,,,,,,,,,
2002,"Agone, DeathSpeak Minotaur",Agone," The ever vigilant local Magistrate was well beyond retirement: His death by natural causes feels very unnatural and wrong to you. Driven by a need to answers, you attend the Devotional Services for the Dead...and catapulted into a world you never knew exsisted.",Roleplaying Games,8220,3:45:00,$3.00,6,A-3,202D:4,Mark Drapac,8/8/2002,68,,,,,,,,,,,,,,,,,,,,,,
2002,"Alternity: StarDrive Campaign Setting, Cause and Effect",Alternity,Your team is investigating an uncharted region of the Verge when the C.S.S. Cortez suddenly appears. No big deal except that the Cortez was declared lost 40 years ago! You’re certainly not the only ones interested in this mystery...,Roleplaying Games,8681,3:45:00,$3.00,6,A-3,202C:5,Clifford Yahnke,8/8/2002,69,,,,,,,,,,,,,,,,,,,,,,
2002,"BESM, 2nd Ed., The Magnificient 7","Big Eyes, Small Mouth",Aku has made more enemies than just Jack.Your band of heroes attempts to thwart the minions of Aku.,Roleplaying Games,80264,4:00:00,$3.00,7,E-2,203A:7,Gregory Volz,8/8/2002,70,,,,,,,,,,,,,,,,,,,,,,
2002,Caeron 3000,Caeron 3000,"Over two million light years away, deep in the heart of the Andromeda galaxy and ten thousand years in our future, six planets nestled around the giant star Caeron provide the backdrop for adventure, exploration, and war.",Roleplaying Games,8092,3:45:00,$3.00,8,E-1,202D:1,Magique Productions,8/8/2002,71,,,,,,,,,,,,,,,,,,,,,,
2002,"Call of Cthulhu, Insanity 103",Call of Cthulhu,"An all-new Summer Session of Call of Cthulhu Insanity. No prerequisites. All supplies provided. Seasoned instructor. Straitjackets optional, but recommended. Miskatonic University is not responsible for student deaths or institutionalization.",Roleplaying Games,8277,3:45:00,$3.00,6,E-2,CHAOS1,"Chaosium, Inc.",8/8/2002,72,,,,,,,,,,,,,,,,,,,,,,
2002,"Call of Cthulhu, Rock of Ages",Call of Cthulhu,Central Ohio. Small town America. Someone is killing young people. The police are baffled. But you recognize the mystic rituals behind the slayings. Can you find the killer before it’s too late?,Roleplaying Games,8227,4:00:00,$3.00,8,A-2,202C12,James Rummel,8/8/2002,73,,,,,,,,,,,,,,,,,,,,,,
2002,"Champions, JSArThe Bunker",Champions,"This game premiered at Gen-Con a few years back and deservedto brought back. In the closing days of World War II, the hereos of the Justice Society race against time to storm Hiker’s bunker.",Roleplaying Games,8016,5:45:00,$4.50,8,E-3,202C14,Joseph Linehan,8/8/2002,74,,,,,,,,,,,,,,,,,,,,,,
2002,"Changeling, Axe Axe Who Has the Axe",Changeling,These childings are back again this time they’re gaurding against the dukes axes till oops!!!!,Roleplaying Games,8201,5:45:00,$4.50,10,S-1,103D:2,Charles Gory,8/8/2002,75,,,,,,,,,,,,,,,,,,,,,,
2002,Coming of (Ice) Age- Seeking Warmth,Coming of (Ice) Age,"Your tribe of ores has exhausted the natural resources on the island on which you inhabit.The shaman has sent groups of explorers to find and conquer new lands. One group has not returned, can you find them.",Roleplaying Games,8117,3:45:00,$3.00,6,A-2,202D:5,Nathan James,8/8/2002,76,,,,,,,,,,,,,,,,,,,,,,
2002,"D&D 3rd Ed., D&D Benefit","Dungeons & Dragons, 3rd Edition","Aviery Heir: Hear ye, hear ye! Be it known that the honorable Elerond Wigly of Rastenford seeks Robin Underhill, regarding the matter of an inheritance. Please come to meet me at my offices in Rastenford precisely one week hence.",Roleplaying Games,8884,4:00:00,$6.00,60,A-2,Arena: RPGAHQ,RPGA Network,8/8/2002,77,,,,,,,,,,,,,,,,,,,,,,
2002,"D&D 3rd Ed., D&D Members Only","Dungeons & Dragons, 3rd Edition","Realms Cycle Preview:Join us for the prequel to the RPGA Network’s newest Living Campaign:The LIVING Realms Cycle. Bring a pre-created 7th-level character to destroy a great evil threatening Toril. After Gen Con, this campaign’s play continues, as your DM pushes your roleplaying ability via this year’s FORGOTTEN REALMS super adventure (on sale this fall), and during special events offered throughout the year by the RPGA.",Roleplaying Games,8878,4:00:00,$3.00,48,A-3,Arena: RPGAHQ,RPGA Network,8/8/2002,78,,,,,,,,,,,,,,,,,,,,,,
2002,"D&D 3rd Ed., D&D Open Rd 1","Dungeons & Dragons, 3rd Edition","Proving Ground: Ores and undead, led by a foul necromancer, menace the peaceful kingdom. While you’re dealing with them, don’t forget the dragon. Levels 7-9, characters provided.Teams of eight advance to the semi-final accomplishing objectives in the first round.",Roleplaying Games,8867,4:00:00,$3.00,240,A-2,Arena: RPGAHQ,RPGA Network,8/8/2002,79,,,,,,,,,,,,,,,,,,,,,,
2002,"D&D 3rd Ed., Living City Benefit","Dungeons & Dragons, 3rd Edition",For characters levels 3-14.,Roleplaying Games,8900,4:00:00,$6.00,120,A-2,Arena: RPGAHQ,RPGA Network,8/8/2002,80,,,,,,,,,,,,,,,,,,,,,,
2002,"D&D 3rd Ed., Living City Intro","Dungeons & Dragons, 3rd Edition",For starting and low-level characters only.,Roleplaying Games,8907,4:00:00,$3.00,36,A-1,Arena: RPGAHQ,RPGA Network,8/8/2002,81,,,,,,,,,,,,,,,,,,,,,,
2002,"D&D 3rd Ed., Living Greyhawk Feature","Dungeons & Dragons, 3rd Edition","Forgotten Echoes:A murdered scholar,an ancient map,and a sinister foe cloaked in death. A forgotten voice from the deepest recesses of the mind has returned.The vile whisper cackles 1 am free and with each passing moment, it grows louder and louder. Sequel to Forbidden Choice.",Roleplaying Games,8916,4:00:00,$3.00,180,A-2,Arena: RPGAHQ,RPGA Network,8/8/2002,82,,,,,,,,,,,,,,,,,,,,,,
